dataset,category,balancer,classifier,n_features_selected,balancing_time_sec,accuracy,precision,recall,f1,auc,train_time_sec
ids2018,dl_hybrid,vae_smote,LGBM,19,0.7004854679107666,98.83527746767345,99.69484536082474,95.0800330357494,97.33276969221168,0.9928243167324284,1.7922117710113525
ids2018,dl_hybrid,vae_smote,DNN,19,0.7004854679107666,98.32983184043741,99.63292688072232,92.8697840877807,96.13255170167724,0.9803071472770116,90.946932554245
ddos2019,baseline,raw,DT,17,0.0,99.85238774980535,99.83764611849335,99.93499512463436,99.8862969025277,0.9993220018266876,0.4931764602661133
ddos2019,baseline,raw,RF,17,0.0,99.87509732675836,99.84517031265608,99.96249718728905,99.9037993028573,0.9999141072248471,2.099604845046997
ddos2019,baseline,raw,ET,17,0.0,99.9075395795484,99.9000499750125,99.95749681226091,99.9287651374083,0.9998580374799183,1.7012205123901367
ddos2019,baseline,raw,LR,17,0.0,99.11108227355308,98.71088830168178,99.93499512463436,99.31917008324015,0.99888233269151,0.8722062110900879
ddos2019,baseline,raw,XGB,17,0.0,99.9059174669089,99.90004747744821,99.95499662474685,99.92751449710057,0.9999733393010803,0.4896962642669678
ddos2019,baseline,raw,LGBM,17,0.0,99.93024915650143,99.92752174347696,99.9649973748031,99.9462560461948,0.9999550616381675,1.9777352809906006
ddos2019,baseline,raw,DNN,17,0.0,99.47605761744096,99.67695081638786,99.51496362227167,99.59589135357629,0.9997213834268831,35.483121395111084
ddos2019,baseline,ros,DT,19,0.2355968952178955,99.99351154944199,99.99749968746093,99.99249943745781,99.99499949995,0.9999394035657473,2.1362831592559814
ddos2019,baseline,ros,RF,19,0.2355968952178955,99.9918894368025,100.0,99.98749906242969,99.99374914050682,0.999999937642545,4.853633165359497
ddos2019,baseline,ros,ET,19,0.2355968952178955,99.97891253568648,99.98749812471871,99.97999849988749,99.98374817166932,0.999999629896957,3.710129737854004
ddos2019,baseline,ros,LR,19,0.2355968952178955,99.527965221905,99.65236094437775,99.61997149786234,99.63616358885236,0.9994430035811415,1.245772123336792
ddos2019,baseline,ros,XGB,19,0.2355968952178955,99.98540098624449,99.99499899979996,99.98249868740156,99.98874845291228,0.9999996812841191,1.3019952774047852
ddos2019,baseline,ros,LGBM,19,0.2355968952178955,99.9918894368025,100.0,99.98749906242969,99.99374914050682,0.9999997702012309,7.225200653076172
ddos2019,baseline,ros,DNN,19,0.2355968952178955,99.95133662081494,99.959998999975,99.9649973748031,99.96249812490625,0.9999554473305742,79.35679030418396
ddos2019,ml_based,smote,DT,19,5.382564544677734,99.9918894368025,99.99749962494374,99.98999924994375,99.99374929679588,0.999926902628177,0.9617750644683838
ddos2019,ml_based,smote,RF,19,5.382564544677734,99.98864521152349,99.99749949989997,99.98499887491562,99.99124879670954,0.9999999439937673,3.4804301261901855
ddos2019,ml_based,smote,ET,19,5.382564544677734,99.98053464832599,99.99249831212023,99.97749831237343,99.98499774966245,0.9999997286295941,2.407205581665039
ddos2019,ml_based,smote,LR,19,5.382564544677734,99.49552296911499,99.6075,99.61497112283422,99.6112354213283,0.9994383949033119,0.443805456161499
ddos2019,ml_based,smote,XGB,19,5.382564544677734,99.98864521152349,99.99749949989997,99.98499887491562,99.99124879670954,0.9999996766650483,1.0721096992492676
ddos2019,ml_based,smote,LGBM,19,5.382564544677734,99.99026732416299,99.99749956242341,99.98749906242969,99.9924990623828,0.9999998117728675,0.9872763156890869
ddos2019,ml_based,smote,DNN,19,5.382564544677734,99.95620295873346,99.9774932479744,99.95499662474685,99.96624367068826,0.9999560339525579,39.20849394798279
ddos2019,ml_based,adasyn,DT,18,21.04322338104248,99.93024915650143,99.95249049809962,99.93999549966247,99.94624260835865,0.9994829233226162,0.652268648147583
ddos2019,ml_based,adasyn,RF,18,21.04322338104248,99.91565014274592,99.97247729376735,99.8974923119234,99.93497073683157,0.9999750298809705,2.8088598251342773
